year,state,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,total,dualrelig,datatype,sourcereliab,recreliab,reliabilevel,sourcecode,Version
1945,2,USA,"66,069,671","38,716,742","1,121,898","2,400,000","1,956,807","110,265,118","821,489","1,364,508","1,902,885","552,300","4,641,182",0,0,0,0,0,0,0,0,0,0,"1,601,218","1,601,218",0,0,0,0,0,0,0,0,0,0,"22,874,544","545,938","139,382,062","139,928,000",0.4722,0.2767,0.008,0.0172,0.014,0.788,0.0059,0.0098,0.0136,0.0039,0.0332,0,0,0,0,0,0,0,0,0,0,0.0114,0.0114,0,0,0,0,0,0,0,0,0,0,0.1635,0.0039,0.9961,1,0,34,2,10,Medium,13,1.1
1950,2,USA,"73,090,083","42,635,882","3,045,420","3,045,420","1,177,214","122,994,019","1,078,078","1,790,706","2,497,244","724,809","6,090,837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,568,130","618,022","151,652,986","152,271,008",0.48,0.28,0.02,0.02,0.0077,0.8077,0.0071,0.0118,0.0164,0.0048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1482,0.0041,0.9959,1,0,34,6,28,Low,18,1.1
1955,2,USA,"79,294,628","46,402,368","3,454,916","2,572,767","2,277,091","134,001,770","944,000","1,568,000","2,186,666","634,666","5,333,332",0,0,0,0,0,0,0,0,0,0,"90,173","90,173",0,0,0,0,0,0,0,0,0,0,"23,303,540","3,202,185","162,728,815","165,931,000",0.4779,0.2796,0.0208,0.0155,0.0137,0.8076,0.0057,0.0094,0.0132,0.0038,0.0321,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0.1404,0.0193,0.9807,1,0,134,5,10,Medium,15,1.1
1960,2,USA,"90,692,928","50,587,880","3,334,535","2,710,065","2,908,939","150,234,347","973,500","1,617,000","2,255,000","654,500","5,500,000",0,0,0,0,0,0,0,0,0,0,"2,012,131","2,012,131",0,0,0,0,0,0,0,0,0,0,"21,548,225","1,376,297","179,294,703","180,671,000",0.502,0.28,0.0185,0.015,0.0161,0.8315,0.0054,0.0089,0.0125,0.0036,0.0304,0,0,0,0,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0,0.1193,0.0076,0.9924,1,0,134,2,10,Medium,13,1.1
1965,2,USA,"94,165,803","64,761,783","4,792,868","2,822,149","973,155","167,515,758","991,200","1,646,400","2,296,000","666,400","5,600,000",0,0,0,0,0,0,0,0,0,0,"1,080,892","1,080,892",0,0,0,0,0,0,0,0,0,0,"19,852,362","581,988","194,049,012","194,631,000",0.4838,0.3327,0.0246,0.0145,0.005,0.8607,0.0051,0.0085,0.0118,0.0034,0.0288,0,0,0,0,0,0,0,0,0,0,0.0056,0.0056,0,0,0,0,0,0,0,0,0,0,0.102,0.003,0.997,1,0,134,8,28,Low,20,1.1
1970,2,USA,"93,918,347","69,119,143","5,498,914","3,030,647","1,300,000","172,867,051","1,088,550","1,808,100","2,521,500","731,850","6,150,000",0,0,0,0,0,0,0,0,0,0,"1,113,861","1,113,861",0,0,0,0,"90,247",0,0,0,0,0,"20,474,592","10,249","200,695,751","200,706,000",0.4679,0.3444,0.0274,0.0151,0.0065,0.8613,0.0054,0.009,0.0126,0.0036,0.0306,0,0,0,0,0,0,0,0,0,0,0.0055,0.0055,0,0,0,0,0.0004,0,0,0,0,0,0.102,0.0001,0.9999,1,0,134,4,10,Medium,7,1.1
1975,2,USA,"93,578,909","77,181,399","6,651,649","3,239,145","2,159,430","182,810,532","1,185,900","1,969,800","2,747,000","797,300","6,700,000",0,0,0,0,0,0,0,0,0,0,"1,019,556","1,019,556",0,"159,778","1,597",0,"220,494",0,0,0,0,0,"24,789,671","241,372","215,701,628","215,943,000",0.4334,0.3574,0.0308,0.015,0.01,0.8466,0.0055,0.0091,0.0127,0.0037,0.031,0,0,0,0,0,0,0,0,0,0,0.0047,0.0047,0,0.0007,0,0,0.001,0,0,0,0,0,0.1148,0.0011,0.9989,1,0,99,99,35,Low,99,1.1
1980,2,USA,"101,216,516","75,149,580","4,677,202","3,576,566","2,030,000","186,649,864","1,284,843","2,134,146","2,976,190","863,821","7,259,000","2,407,464","254,121",0,0,0,"4,975",0,"2,666,560",0,0,"1,357,967","1,357,967",0,"995,149",0,0,0,"89,563",0,0,0,"59,708","26,813,635","1,834,554","225,891,446","227,726,000",0.4445,0.33,0.0205,0.0157,0.0089,0.8196,0.0056,0.0094,0.0131,0.0038,0.0319,0.0106,0.0011,0,0,0,0,0,0.0117,0,0,0.006,0.006,0,0.0044,0,0,0,0.0004,0,0,0,0.0003,0.1177,0.0081,0.9919,1,0,24,4,5,Medium,7,1.1
1985,2,USA,"107,309,700","82,463,100","5,245,662","3,576,990","1,192,330","199,787,782","1,352,280","2,146,160","3,132,400","879,160","7,510,000","2,186,675","298,183",0,0,0,0,0,"2,484,858",0,0,"1,984,325","1,984,325",0,"1,005,000",0,0,0,0,0,0,0,0,"25,396,899","297,136","238,168,864","238,466,000",0.45,0.3458,0.022,0.015,0.005,0.8378,0.0057,0.009,0.0131,0.0037,0.0315,0.0092,0.0013,0,0,0,0,0,0.0104,0,0,0.0083,0.0083,0,0.0042,0,0,0,0,0,0,0,0,0.1065,0.0012,0.9988,1,0,34,2,10,Medium,13,1.1
1990,2,USA,"132,040,181","65,530,789","6,715,078","4,334,627","5,804,487","214,425,162","975,005","1,619,500","2,258,487","655,512","5,508,504","2,019,386","275,371",0,0,0,0,0,"2,294,757",0,0,"1,575,481","1,575,481","52,301","323,352","18,517","59,724","887,961","100,408","6,410",0,0,"78,345","24,413,914","162,164","249,744,836","249,907,000",0.5284,0.2622,0.0269,0.0173,0.0232,0.858,0.0039,0.0065,0.009,0.0026,0.022,0.0081,0.0011,0,0,0,0,0,0.0092,0,0,0.0063,0.0063,0.0002,0.0013,0.0001,0.0002,0.0036,0.0004,0,0,0,0.0003,0.0977,0.0006,0.9994,1,0,24,4,7,High,25,1.1
1995,2,USA,"123,669,458","70,308,695","6,639,161","4,476,661","10,500,000","215,593,975","930,925","1,546,282","2,156,380","625,876","5,259,463","2,134,332","291,045",0,0,0,0,0,"2,425,377",0,0,"1,608,346","1,608,346","758,150","574,269","47,402","57,972","672,364","55,771","6,684","39,248","270,915","219,079","34,475,517","690,468","262,064,532","262,755,000",0.4707,0.2676,0.0253,0.017,0.04,0.8205,0.0035,0.0059,0.0082,0.0024,0.02,0.0081,0.0011,0,0,0,0,0,0.0092,0,0,0.0061,0.0061,0.0029,0.0022,0.0002,0.0002,0.0026,0.0002,0,0.0001,0.001,0.0008,0.1312,0.0026,0.9974,1,0,34,99,35,Low,99,1.1
2000,2,USA,"115,298,736","75,086,601","6,563,244","4,618,694","18,251,030","219,818,305","886,845","1,473,065","2,054,274","596,240","5,010,424","2,249,277","306,720",0,0,0,0,0,"2,555,997","808,358",0,"1,641,211","2,449,569","1,464,000","825,186","76,286","56,220","456,767","11,134","6,959","78,497","541,831","359,813","44,537,120","108,892","278,248,108","278,357,000",0.4142,0.2697,0.0236,0.0166,0.0656,0.7897,0.0032,0.0053,0.0074,0.0021,0.018,0.0081,0.0011,0,0,0,0,0,0.0092,0.0029,0,0.0059,0.0088,0.0053,0.003,0.0003,0.0002,0.0016,0,0,0.0003,0.0019,0.0013,0.16,0.0004,0.9996,1,0,24,4,7,High,25,1.1
2005,2,USA,"117,527,349","76,742,245","6,800,059","4,733,159","20,661,993","226,464,805","979,982","1,627,767","2,270,015","658,858","5,536,622","2,363,129","322,245",0,0,0,0,0,"2,685,374","858,297",0,"2,824,397","3,682,694","1,554,443","1,311,442","269,862","60,560","456,767","11,134","79,459","86,656","672,506","1,066,695","51,781,800","175,181","295,720,819","295,896,000",0.3972,0.2594,0.023,0.016,0.0698,0.7654,0.0033,0.0055,0.0077,0.0022,0.0187,0.008,0.0011,0,0,0,0,0,0.0091,0.0029,0,0.0095,0.0124,0.0053,0.0044,0.0009,0.0002,0.0015,0,0.0003,0.0003,0.0023,0.0036,0.175,0.0006,0.9994,1,0,34,99,35,Low,99,1.1
2010,2,USA,"119,755,961","78,397,889","7,036,875","4,847,625","23,072,957","233,111,307","1,051,778","1,747,021","2,436,322","707,127","5,942,248","2,476,980","337,770",0,0,0,0,0,"2,814,750","908,236",0,"2,502,000","3,410,236","1,644,887","1,797,698","406,908","156,375","482,784","11,768","83,984","91,591","803,181","1,773,577","59,422,500","796,206","311,953,794","312,750,000",0.3829,0.2507,0.0225,0.0155,0.0738,0.7454,0.0034,0.0056,0.0078,0.0023,0.019,0.0079,0.0011,0,0,0,0,0,0.009,0.0029,0,0.008,0.0109,0.0053,0.0057,0.0013,0.0005,0.0015,0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.9975,1,0,24,4,7,High,25,1.1
1945,20,CAN,"4,002,534","5,038,280","241,370","1,137,777","112,000","10,531,961","35,338","61,842","26,503","53,007","176,690",0,0,0,0,0,0,0,0,0,0,"115,066","115,066",0,0,"5,000",0,0,0,0,0,"11,000",0,0,"666,938","10,839,717","11,506,655",0.3478,0.4379,0.021,0.0989,0.0097,0.9153,0.0031,0.0054,0.0023,0.0046,0.0154,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.0004,0,0,0,0,0,0.001,0,0,0.058,0.942,1,0,24,5,10,Medium,15,1.1
1950,20,CAN,"4,098,000","6,181,650","200,560","1,300,614","444,655","12,225,479","35,991","62,984","26,993","53,986","179,954",0,0,0,0,0,0,"2,006","2,006",0,0,"112,006","112,006",0,"2,006","10,001",0,"1,000",0,0,0,"14,973","50,003","128,304","1,011,268","12,725,732","13,737,000",0.2983,0.45,0.0146,0.0947,0.0324,0.89,0.0026,0.0046,0.002,0.0039,0.0131,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0082,0.0082,0,0.0001,0.0007,0,0.0001,0,0,0,0.0011,0.0036,0.0093,0.0736,0.9264,1,0,2,4,7,Medium,7,1.1
1955,20,CAN,"4,248,720","7,338,356","314,989","1,720,140","347,327","13,969,532","43,432","76,006","32,574","65,148","217,160",0,0,0,0,0,0,"1,003","1,003",0,0,"446,608","446,608",0,"1,003","5,000",0,500,0,0,"171,199","7,486","25,001","64,152","827,356","14,908,644","15,736,000",0.27,0.4663,0.02,0.1093,0.0221,0.8877,0.0028,0.0048,0.0021,0.0041,0.0138,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0284,0.0284,0,0.0001,0.0003,0,0,0,0,0.0109,0.0005,0.0016,0.0041,0.0526,0.9474,1,0,234,99,35,Low,99,1.1
1960,20,CAN,"4,635,491","8,495,062","350,000","2,439,666","250,000","16,170,219","50,873","89,028","38,155","76,310","254,366",0,0,0,0,0,0,0,0,0,0,"781,211","781,211",0,0,0,0,0,0,0,"342,398",0,0,0,"360,806","17,548,194","17,909,000",0.2588,0.4743,0.0195,0.1362,0.014,0.9029,0.0028,0.005,0.0021,0.0043,0.0142,0,0,0,0,0,0,0,0,0,0,0.0436,0.0436,0,0,0,0,0,0,0,0.0191,0,0,0,0.0201,0.9799,1,0,24,10,24,Medium,12,1.1
1965,20,CAN,"5,138,863","9,051,880","429,419","2,400,068","296,329","17,316,559","57,330","100,327","42,997","85,995","286,649",0,0,0,0,0,0,0,0,0,0,"790,000","790,000",0,0,0,0,0,0,0,"376,219",0,0,"500,000","408,573","19,269,427","19,678,000",0.2611,0.46,0.0218,0.122,0.0151,0.88,0.0029,0.0051,0.0022,0.0044,0.0146,0,0,0,0,0,0,0,0,0,0,0.0401,0.0401,0,0,0,0,0,0,0,0.0191,0,0,0.0254,0.0208,0.9792,1,0,24,5,8,High,15,1.1
1970,20,CAN,"5,750,190","10,009,590","638,910","1,064,850","425,940","17,889,480","57,502","100,628","43,126","86,253","287,509",0,0,0,0,0,0,"41,103","41,103",0,0,"15,696","15,696",0,"19,615","19,615",0,"23,640",0,980,"407,172","29,390","11,777","713,821","1,837,202","19,459,798","21,297,000",0.27,0.47,0.03,0.05,0.02,0.84,0.0027,0.0047,0.002,0.0041,0.0135,0,0,0,0,0,0,0.0019,0.0019,0,0,0.0007,0.0007,0,0.0009,0.0009,0,0.0011,0,0,0.0191,0.0014,0.0006,0.0335,0.0863,0.9137,1,0,24,4,7,Medium,7,1.1
1975,20,CAN,"6,124,060","11,633,595","347,936","1,760,568","231,580","20,097,739","60,739","106,293","45,554","91,109","303,695",0,0,0,0,0,0,"43,385","43,385",0,0,"16,527","16,527",0,"20,659","7,230",0,0,"30,989",0,0,0,"12,395","2,444,940","164,441","22,977,559","23,142,000",0.2646,0.5027,0.015,0.0761,0.01,0.8685,0.0026,0.0046,0.002,0.0039,0.0131,0,0,0,0,0,0,0.0019,0.0019,0,0,0.0007,0.0007,0,0.0009,0.0003,0,0,0.0013,0,0,0,0.0005,0.1056,0.0071,0.9929,1,0,234,5,20,Medium,1,1.1
1980,20,CAN,"6,792,962","11,670,690","327,798","2,564,522","198,410","21,554,382","61,719","108,008","46,289","92,578","308,594","158,057","17,562",0,0,0,0,0,"175,619",0,0,"20,847","20,847",0,"50,986","9,064",0,0,"29,458",0,0,0,"150,692","1,959,478","256,880","24,259,120","24,516,000",0.2771,0.476,0.0134,0.1046,0.0081,0.8792,0.0025,0.0044,0.0019,0.0038,0.0126,0.0064,0.0007,0,0,0,0,0,0.0072,0,0,0.0009,0.0009,0,0.0021,0.0004,0,0,0.0012,0,0,0,0.0061,0.0799,0.0105,0.9895,1,0,24,4,5,Medium,7,1.1
1985,20,CAN,"7,450,000","12,636,160","400,000","2,600,000","210,000","23,296,160","62,714","109,750","47,036","94,072","313,572","191,529","21,281",0,0,0,0,0,"212,810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,011,269","9,190","25,833,811","25,843,000",0.2883,0.489,0.0155,0.1006,0.0081,0.9014,0.0024,0.0042,0.0018,0.0036,0.0121,0.0074,0.0008,0,0,0,0,0,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0.0004,0.9996,1,0,24,5,20,Medium,1,1.1
1990,20,CAN,"7,936,000","12,720,000","510,000","2,880,000","300,000","24,346,000","70,000","122,500","52,500","105,000","350,000","225,000","25,000",0,0,0,0,0,"250,000",0,0,"500,000","500,000","10,200","155,000","240,000",0,0,"280,000",0,0,0,"9,000","1,545,500","15,300","27,685,700","27,701,000",0.2865,0.4592,0.0184,0.104,0.0108,0.8789,0.0025,0.0044,0.0019,0.0038,0.0126,0.0081,0.0009,0,0,0,0,0,0.009,0,0,0.018,0.018,0.0004,0.0056,0.0087,0,0,0.0101,0,0,0,0.0003,0.0558,0.0006,0.9994,1,0,24,4,5,Medium,7,1.1
1995,20,CAN,"8,001,536","13,399,222","550,896","2,701,453","305,735","24,958,842","72,376","126,658","54,282","108,564","361,880","112,500","12,500",0,0,0,0,0,"125,000",0,0,"250,000","250,000","7,577","170,941","197,867",272,"9,010","141,722",0,"1,230",0,"36,487","2,772,795","320,377","29,033,623","29,354,000",0.2726,0.4565,0.0188,0.092,0.0104,0.8503,0.0025,0.0043,0.0018,0.0037,0.0123,0.0038,0.0004,0,0,0,0,0,0.0043,0,0,0.0085,0.0085,0.0003,0.0058,0.0067,0,0.0003,0.0048,0,0,0,0.0012,0.0945,0.0109,0.9891,1,0,24,9,24,Medium,2,1.1
2000,20,CAN,"8,067,073","14,078,444","591,793","2,522,907","311,470","25,571,687","74,752","130,817","56,064","112,129","373,762","252,291","28,032",0,0,0,0,0,"280,323",0,0,"360,000","360,000","4,955","186,882","155,735",545,"18,020","3,445",0,"2,460",0,"63,975","4,000,090","125,121","31,021,879","31,147,000",0.259,0.452,0.019,0.081,0.01,0.821,0.0024,0.0042,0.0018,0.0036,0.012,0.0081,0.0009,0,0,0,0,0,0.009,0,0,0.0116,0.0116,0.0002,0.006,0.005,0,0.0006,0.0001,0,0.0001,0,0.0021,0.1284,0.004,0.996,1,0,24,4,5,High,26,1.1
2005,20,CAN,"8,996,090","13,649,240","589,399","2,512,701","310,210","26,057,640","68,246","119,430","51,184","102,369","341,229","581,400","64,600",0,0,0,0,0,"646,000",0,0,"605,000","605,000","5,138","193,800","161,500",565,"18,687","3,572",0,"2,551",0,"66,343","4,100,000","97,975","32,202,025","32,300,000",0.2785,0.4226,0.0182,0.0778,0.0096,0.8067,0.0021,0.0037,0.0016,0.0032,0.0106,0.018,0.002,0,0,0,0,0,0.02,0,0,0.0187,0.0187,0.0002,0.006,0.005,0,0.0006,0.0001,0,0.0001,0,0.0021,0.1269,0.003,0.997,1,0,24,5,18,Medium,83,1.1
2010,20,CAN,"7,929,127","14,497,030","785,000","2,722,447","497,500","26,431,104","68,061","119,107","51,045","102,091","340,304","600,000","70,000",0,0,0,0,0,"670,000",0,0,"670,000","670,000","6,130","275,000","275,000",915,"18,945","3,620","3,320","2,700","27,000","70,861","5,670,000","35,101","34,464,899","34,500,000",0.2298,0.4202,0.0228,0.0789,0.0144,0.7661,0.002,0.0035,0.0015,0.003,0.0099,0.0174,0.002,0,0,0,0,0,0.0194,0,0,0.0194,0.0194,0.0002,0.008,0.008,0,0.0005,0.0001,0.0001,0.0001,0.0008,0.0021,0.1643,0.001,0.999,1,0,34,7,28,Low,26,1.1
1975,31,BHM,"100,339","15,750",514,"48,000",0,"164,603",0,0,0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,421","17,208","171,792","189,000",0.5309,0.0833,0.0027,0.254,0,0.8709,0,0,0,0.0041,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.091,0.909,1,0,234,5,20,Medium,1,1.1
1980,31,BHM,"104,580","21,000",600,"48,000",0,"174,180",0,0,0,620,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,900","6,940","24,360","185,640","210,000",0.498,0.1,0.0029,0.2286,0,0.8294,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,0.033,0.116,0.884,1,0,2,3,24,Medium,14,1.1
1985,31,BHM,"109,000","28,000",700,"48,000",0,"185,700",0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,500","38,300","193,700","232,000",0.4698,0.1207,0.003,0.2069,0,0.8004,0,0,0,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0.1651,0.8349,1,0,24,2,2,High,13,1.1
1990,31,BHM,"124,600","35,475",195,"49,400",0,"209,670",0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,75,0,"5,225","39,130","215,870","255,000",0.4886,0.1391,0.0008,0.1937,0,0.8222,0,0,0,0.0016,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.0003,0,0.0205,0.1535,0.8465,1,0,234,2,10,Medium,13,1.1
1995,31,BHM,"148,938","49,688",200,"54,819",0,"253,645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,355","253,645","284,000",0.5244,0.175,0.0007,0.193,0,0.8931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1069,0.8931,1,0,24,5,20,Medium,1,1.1
2000,31,BHM,"207,870","43,050",0,"46,125",0,"297,045",0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,"1,000","8,917",146,"307,354","307,500",0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0033,0.029,0.0005,0.9995,1,0,24,5,10,Medium,83,1.1
2005,31,BHM,"219,700","45,500",0,"48,750",0,"313,950",0,0,0,317,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,"1,056","9,425",155,"324,845","325,000",0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0032,0.029,0.0005,0.9995,1,0,24,5,10,Medium,83,1.1
2010,31,BHM,"211,798","43,863",0,"46,996",0,"302,657",0,0,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,"1,018","9,086",153,"313,159","313,312",0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0032,0.029,0.0005,0.9995,1,0,24,4,8,High,83,1.1
1945,40,CUB,"185,865","4,387,700",0,0,0,"4,573,565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,944,000",0,0,0,"8,517,565","4,930,000",0.0377,0.89,0,0,0,0.9277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.7277,1.7277,1,34,10,28,Low,12,1.1
1950,40,CUB,"220,852","4,964,000",0,0,0,"5,184,852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,686,400",0,0,0,"9,871,252","5,858,000",0.0377,0.8474,0,0,0,0.8851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6851,1.6851,1,24,4,5,Medium,7,1.1
1955,40,CUB,"242,266","5,462,100",0,0,0,"5,704,366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,140,800",0,0,0,"10,845,166","6,426,000",0.0377,0.85,0,0,0,0.8877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6877,1.6877,1,24,9,24,Medium,2,1.1
1960,40,CUB,"265,000","5,924,000",0,0,0,"6,189,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,623,200",0,0,0,"11,812,200","7,029,000",0.0377,0.8428,0,0,0,0.8805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6805,1.6805,1,24,6,24,Medium,18,1.1
1965,40,CUB,"265,000","5,960,920",0,0,0,"6,225,920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,920,000",0,0,0,"12,145,920","7,400,000",0.0358,0.8055,0,0,0,0.8413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6413,1.6413,1,24,5,20,Medium,1,1.1
1970,40,CUB,"238,062","6,119,229","2,000","12,000","11,009","6,382,300",0,0,0,"1,800","1,800",0,0,0,0,0,0,0,0,0,0,"5,000","5,000",0,"3,000",0,0,500,0,0,0,"5,982,200",0,"2,100,000",0,"14,474,800","8,546,000",0.0279,0.716,0.0002,0.0014,0.0013,0.7468,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0.0004,0,0,0.0001,0,0,0,0.7,0,0.2457,0,1.6938,1.6938,1,24,4,8,Medium,7,1.1
1975,40,CUB,"260,000","6,219,229","2,000","12,000","11,009","6,504,238",0,0,0,"1,800","1,800",0,0,0,0,0,0,"1,000","1,000",0,0,"5,000","5,000",0,"3,000",0,0,0,"4,000",0,0,"5,982,200",0,"1,935,400",0,"14,436,638","8,546,000",0.0304,0.7277,0.0002,0.0014,0.0013,0.7611,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0006,0.0006,0,0.0004,0,0,0,0.0005,0,0,0.7,0,0.2265,0,1.6893,1.6893,1,99,99,35,Low,99,1.1
1980,40,CUB,"437,580","6,471,000",0,"13,000",0,"6,921,580",0,0,0,"2,200","2,200",0,0,0,0,0,0,0,0,0,0,"6,000","6,000",0,0,0,0,0,0,0,0,"6,806,800","252,000","2,435,400",0,"16,423,980","9,724,000",0.045,0.6655,0,0.0013,0,0.7118,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0.7,0.0259,0.2505,0,1.689,1.689,1,24,4,8,Medium,7,1.1
1985,40,CUB,"403,920","7,151,000",0,0,0,"7,554,920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,068,600",0,"2,502,000",0,"17,125,520","10,098,000",0.04,0.7082,0,0,0,0.7482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.2478,0,1.6959,1.6959,1,24,2,5,High,13,1.1
1990,40,CUB,"424,960","7,250,000","1,450","3,800",0,"7,680,210",0,0,0,"1,000","1,000",0,0,0,0,0,0,"8,000","8,000",0,0,"6,000","6,000",0,"21,000",0,0,800,"20,000",0,0,"6,374,400",0,"2,577,060",0,"16,688,470","10,624,000",0.04,0.6824,0.0001,0.0004,0,0.7229,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0008,0.0008,0,0,0.0006,0.0006,0,0.002,0,0,0.0001,0.0019,0,0,0.6,0,0.2426,0,1.5708,1.5708,1,24,4,5,Medium,7,1.1
1995,40,CUB,"436,160","8,088,000",0,0,0,"8,524,160",0,0,0,"1,020","1,020",0,0,0,0,0,0,"8,160","8,160",0,0,"6,120","6,120",0,"21,420",0,0,816,"20,400",0,0,"6,588,000",0,"2,267,812",0,"17,437,908","10,980,000",0.0397,0.7366,0,0,0,0.7763,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0007,0.0007,0,0,0.0006,0.0006,0,0.002,0,0,0.0001,0.0019,0,0,0.6,0,0.2065,0,1.5882,1.5882,1,99,99,35,Low,99,1.1
2000,40,CUB,"500,000","7,280,650",0,0,"320,000","8,100,650",0,0,0,500,500,0,0,0,0,0,0,"8,500","8,500",0,0,0,0,0,0,0,0,0,0,0,0,"7,840,700",0,"1,680,150",0,"17,630,500","11,201,000",0.0446,0.65,0,0,0.0286,0.7232,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.15,0,1.574,1.574,1,24,5,10,Medium,83,1.1
